번호,오프셋,뱅크,일본어 원문,자동번역(참고),한국어 번역(여기에 입력)
12786,0x2EFE7F,Bank 187,ペルルルルル{名前}{名前} / ペルルルルルルル{名前}{名前},페루루루루루{이름}{이름} / 페루루루루루루루{이름}{이름},
12787,0x2EFEAB,Bank 187,{名前}{名前}ギチゥリ,{이름}{이름}기치우리,
12788,0x2EFEBB,Bank 187,はい{名前}どす,네{이름}도스,
12789,0x2EFECB,Bank 187,{名前}{名前}{名前}つかさちぅんぢね,{이름}{이름}{이름}츠카사치우은디네,
12790,0x2EFEE7,Bank 187,{名前}{名前},{이름}{이름},
12791,0x2EFEEF,Bank 187,〇を〇かせてくれれびいいのに / そうしたら /  / すげに〇かぃたのに{名前}{名前},오카세해줘레비이이인데 / 그래시하면 /  / 스게니카이한 거야니{이름}{이름},
12792,0x2EFF39,Bank 187,{名前}{名前}ベツィツ、ツ、ツ、{名前}{名前},"{이름}{이름}베츠이츠, 츠, 츠, {이름}{이름}",
12793,0x2EFF57,Bank 187,〇〇いなかぃたな{名前}{名前},이나카이타나{이름}{이름},
12794,0x2EFF71,Bank 187,{名前}{名前}〇いて〇〇〇どす,{이름}{이름}이테도스,
12795,0x2EFF8B,Bank 187,〇〇の〇〇〇〇は〇から / 〇〇になるおそれぎあり /  / 〇〇〇どは〇〇を /  / 〇ぶかけています{名前}{名前},노하부터 / 가 되다오그것기아리 /  / 도하오 /  / 부카케테이합니다{이름}{이름},
12796,0x2EFFEB,Bank 187,もう〇るか{名前}{名前},모우루카{이름}{이름},
12797,0x2F0001,Bank 188,ふゅとりあえぜ〇ぃてきたけば / これからもう〇〇〇ぢ,후유토리아에제이테키타케바 / 이것부터모우디,
12798,0x2F0039,Bank 188,まぜは〇〇〇のとこから / ユキちぅんを〇んど /  / こないと{名前}{名前},마제하노토코부터 / 유키치우은오은도 /  / 코없어토{이름}{이름},
12799,0x2F0079,Bank 188,あのねょユキちぅん / 〇〇なんぢけば{名前}{名前},저네요유키치우은 / 나은디케바{이름}{이름},
12800,0x2F00A7,Bank 188,〇ぃとくけば〇らないよ / あたし,이토쿠케바라없어 / 나,
12801,0x2F00CB,Bank 188,あうぃ{名前}{名前},아우이{이름}{이름},
12802,0x2F00DB,Bank 188,うわいきなり〇〇を / 〇されたぃ,우와이키나리오 / 사레타이,
12803,0x2F0103,Bank 188,もう〇いきなり / そんなことどばうするのよ,모우이키나리 / 소은나코토도바우스하는 거야요,
12804,0x2F0135,Bank 188,わわかぃてるぃて / {名前}{名前}ユキちぅんやぃぴり /  / 〇〇はヂメぢよ,와와카이테루이테 / {이름}{이름}유키치우은야이피리 /  / 하디메디요,
12805,0x2F0179,Bank 188,ばうしてあたしに / ギマンしろぃて〇うの,바우시테나니 / 기마은시로이테우노,
12806,0x2F01A7,Bank 188,いやそう〇ぃてるわけずぅ / ないんぢけばその /  / なんどかぃていうと{名前}{名前},이야그래이테루와케즈우 / 없어은디케바그 /  / 나은도카이테이우토{이름}{이름},
12807,0x2F01F5,Bank 188,{名前}{名前}オビケ,{이름}{이름}오비케,
12808,0x2F0203,Bank 188,そそうなんぢよほら / ここぃて〇き〇〇ぎ〇いぢろ,소그래나은디요호라 / 여기이테키기이디로,
12809,0x2F023B,Bank 188,なんかその〇ぎ〇み〇い / たりしてさまよぃてる /  / らしいんぢ,나은카그기미이 / 타리시테사마요이테루 /  / 라시이은디,
12810,0x2F027F,Bank 188,ぢからユキちぅんもいつまども / こんなとこにいると{名前}{名前},디부터유키치우은모언제마도모 / 코은나토코니이루토{이름}{이름},
12811,0x2F02B9,Bank 188,{名前}{名前}ビィカずぅないの,{이름}{이름}비이카즈우없는 거야,
12812,0x2F02D1,Bank 188,{名前}{名前}え,{이름}{이름}에,
12813,0x2F02DB,Bank 188,あのねオビケぎ〇くて / 〇〇なんかどきないの /  / 〇けて〇られるモンなら /  / 〇てみなさいよぃ,저네오비케기쿠테 / 나은카도키없는 거야 /  / 케테라레루모은라면 /  / 테미나사이요이,
12814,0x2F033B,Bank 188,{名前}{名前}すすみませんどした,{이름}{이름}스스미않습니다도시타,
12815,0x2F0357,Bank 188,ううぃ〇オビケ / 〇るぃてホントなの{名前}{名前},우우이오비케 / 루이테호은토나노{이름}{이름},
12816,0x2F0387,Bank 188,〇〇〇ぎ〇ぎぃて / ばうすんぢよ{名前}{名前},기기이테 / 바우스은디요{이름}{이름},
12817,0x2F03AD,Bank 188,{名前}{名前}え,{이름}{이름}에,
12818,0x2F03B7,Bank 188,ぢからユキちぅんはここにいちぅ / ヂメなんぢすげに〇に /  / 〇らないと,디부터유키치우은하여기니이치우 / 디메나은디스게니니 /  / 라없어토,
12819,0x2F0401,Bank 188,ちぉちぉぃと〇〇ぃてる / のよ〇〇〇〇ならわたしや /  / 〇〇さんは{名前}{名前},치오치오이토이테루 / 노요라면나야 /  / 사은하{이름}{이름},
12820,0x2F044D,Bank 188,ユキちぅんその〇〇に / 〇〇〇は〇〇は〇なんぢ,유키치우은그니 / 하하나은디,
12821,0x2F047F,Bank 188,{名前}{名前},{이름}{이름},
12822,0x2F0489,Bank 188,ほほら〇〇〇お〇〇は / 〇ぢよなな,호호라오하 / 디요나나,
12823,0x2F04B5,Bank 188,{名前}{名前}おオレは{名前}{名前}〇ぢ / あ、〇へぃたわ{名前} /  / ずぅないぞ{名前}{名前},"{이름}{이름}오나하{이름}{이름}디 / 아, 헤이타와{이름} /  / 즈우없어조{이름}{이름}",
12824,0x2F04FF,Bank 188,なユキちぅんほら,나유키치우은호라,
12825,0x2F0517,Bank 188,{名前}{名前}あぜささんイメ、ズ / 〇れるからやめた〇ぎいいよ,"{이름}{이름}아제사사은이메, 즈 / 레루부터야메타기좋아",
12826,0x2F054F,Bank 188,ざざめんなさい{名前}{名前},자자메은나사이{이름}{이름},
12827,0x2F0569,Bank 188,もう〇ぃたら / ヘンなこと〇るのやめてよ{名前}{名前},모우이하면 / 헤은나코토하는 거야야메해줘{이름}{이름},
12828,0x2F059B,Bank 188,ざざめん,자자메은,
12829,0x2F05AB,Bank 188,とにかくあたしは〇りたく / ないのもうあんなところ /  / 〇〇の〇ずぅない,어쨌든나하리타쿠 / 없는 거야모우아은나토코로 /  / 노즈우없어,
12830,0x2F05F9,Bank 188,ばうしてそこまど{名前}{名前},바우시테거기마도{이름}{이름},
12831,0x2F0613,Bank 188,{名前}{名前}ねょユキちぅんもぃと / 〇しく〇かせてくれないか,{이름}{이름}네요유키치우은모이토 / 시쿠카세해줘없어카,
12832,0x2F064D,Bank 188,〇ぎ〇〇なのかちぅんと / 〇りたいんぢ,기나는 건가치우은토 / 리고 싶어은디,
12833,0x2F0677,Bank 188,それぎオレに〇〇どきることなら / オレはもう〇れなんて〇わない,그것기나니도키루코토라면 / 나하모우레나은테와없어,
12834,0x2F06B7,Bank 188,{名前}{名前}〇〇も〇〇するよ,{이름}{이름}모스할게,
12835,0x2F06CF,Bank 188,ちぉぃと〇 / そんなこと{名前}{名前},치오이토 / 소은나코토{이름}{이름},
12836,0x2F06F1,Bank 188,いいから{名前}{名前}ねユキちぅん,이이부터{이름}{이름}네유키치우은,
12837,0x2F0711,Bank 188,{名前}{名前}アイツうるさいんぢ / あたしのこといつも /  / 〇〇〇いして{名前}{名前},{이름}{이름}아이츠우루사이은디 / 나노코토언제모 /  / 이시테{이름}{이름},
12838,0x2F0759,Bank 188,{名前}{名前}そりぅあお〇〇いとかは / いぃぴいくれるよぢけば /  / そんなのばうどもいいことぢもん,{이름}{이름}소리우아오이라든가하 / 이이피이쿠레할게디케바 /  / 소은나노바우도모이이코토디모은,
12839,0x2F07B7,Bank 188,あたしはもぃと〇〇にしたいの / 〇しいことを〇〇ど /  / 〇つけて{名前}{名前},나하모이토니시고 싶어노 / 시이코토오도 /  / 츠케테{이름}{이름},
12840,0x2F07FD,Bank 188,〇〇ぢぃてそうぢよ / マスコィトギ、ル /  / 〇しかぃたのに{名前}{名前},"디이테그래디요 / 마스코이토기, 루 /  / 밖에이한 거야니{이름}{이름}",
12841,0x2F083F,Bank 188,あたしから〇り〇ごたぢけ / ずぅなくみんなにもひばいこと /  / 〇ぃて{名前}{名前},나부터리고타디케 / 즈우나쿠모두니모히바이코토 /  / 이테{이름}{이름},
12842,0x2F0889,Bank 188,{名前}{名前}もうあの〇の〇〇ど / なんかいたくない,{이름}{이름}모우저노도 / 나은카이타않아,
12843,0x2F08B7,Bank 188,ユキちぅん{名前}{名前},유키치우은{이름}{이름},
12844,0x2F08C9,Bank 188,{名前}{名前}ああたしそろそろ〇く / なぃちぅぃた,{이름}{이름}아나소로소로쿠 / 나이치우이타,
12845,0x2F08F7,Bank 188,あぜささんの〇〇〇くね,아제사사은노쿠네,
12846,0x2F0913,Bank 188,あちぉぃとユキちぅん{名前}{名前},아치오이토유키치우은{이름}{이름},
12847,0x2F0933,Bank 188,〇ちぉぃと〇ぃて / {名前}{名前}わたしに〇し〇をさせて,치오이토이테 / {이름}{이름}나니시오사세테,
12848,0x2F0969,Bank 188,あああ{名前}{名前},아아아{이름}{이름},
12849,0x2F0979,Bank 188,{名前}{名前}ユキちぅん〇る〇に / 〇しぢけ〇ぎしたいのいい,{이름}{이름}유키치우은루니 / 시디케기시고 싶어노이이,
12850,0x2F09B1,Bank 188,{名前}{名前}ええ,{이름}{이름}에에,
12851,0x2F09BD,Bank 188,お〇さんのこと〇〇に / そんなに〇いなの,오사은노코토니 / 소은뭐이나노,
12852,0x2F09E9,Bank 188,さぃき〇ぃたとおりどす / もう〇も〇たくない,사이키이타토오리도스 / 모우모타않아,
12853,0x2F0A1B,Bank 188,{名前}{名前}そう,{이름}{이름}그래,
12854,0x2F0A27,Bank 188,どもわたしはユキちぅんぎ / うらやましいな,도모나하유키치우은기 / 우라야마시이나,
12855,0x2F0A55,Bank 188,そそんなことあるはぜない / うらやましいぢなんて{名前}{名前},소소은나코토아루하제없어 / 우라야마시이디나은테{이름}{이름},
12856,0x2F0A91,Bank 188,あぜささんにはあんな〇の / 〇〇に〇まれたつらさぎ /  / わからないんどす{名前}{名前},아제사사은에는아은나노 / 니마레타츠라사기 /  / 와부터없어은도스{이름}{이름},
12857,0x2F0ADF,Bank 188,ぢぃたらあなたには / 〇いたくても〇のいないわたしの /  / 〇〇ちぎ〇かるかしら,디이하면당신에는 / 이타쿠해도노이없어나노 /  / 치기카루카시라,
12858,0x2F0B2F,Bank 188,えぃ{名前}{名前}{名前}{名前},에이{이름}{이름}{이름}{이름},
12859,0x2F0B3F,Bank 188,{名前}{名前}ユキちぅん〇〇〇と / 〇〇ちぅんはね{名前}{名前},{이름}{이름}유키치우은토 / 치우은하네{이름}{이름},
12860,0x2F0B6F,Bank 188,〇さい〇にざ〇〇を〇くして / ぜぃと〇せきのところに /  / いるんぢよ,사이니자오쿠시테 / 제이토세키노토코로니 /  / 이루은디요,
12861,0x2F0BB3,Bank 188,{名前}{名前}オレ〇にその〇ど / 〇〇〇を〇つけちぅぃて{名前}{名前},{이름}{이름}나니그도 / 오츠케치우이테{이름}{이름},
12862,0x2F0BE7,Bank 188,それはもういいわよ / 〇の〇どしぉ,그것하모우이이와요 / 노도시오,
12863,0x2F0C0D,Bank 188,それにねユキちぅん,그것니네유키치우은,
12864,0x2F0C25,Bank 188,お〇さんはあなたを〇いぢから / 〇〇にさせてくれないのかしら,오사은하당신오이디부터 / 니사세해줘없는 거야카시라,
12865,0x2F0C65,Bank 188,{名前}{名前}わたしはそうずぅない / と〇うのやぃぴり /  / 〇〇ぢからなのよ,{이름}{이름}나하그래즈우없어 / 토우노야이피리 /  / 디부터나노요,
12866,0x2F0CAD,Bank 188,ぜぃと〇〇の〇〇〇〇わりを / してきたから〇となく /  / 〇かるんぢけばね,제이토노와리오 / 시테키타부터토나쿠 /  / 카루은디케바네,
12867,0x2F0CF7,Bank 188,うるさく〇うのも〇〇を / くれないのも〇〇のカタチなのよ,우루사쿠우노모오 / 쿠레없는 거야모노카타치나노요,
12868,0x2F0D31,Bank 188,もぃとも〇〇はそうずぅ / なくてもいろいろ〇いたくなる /  / タイペどはあるんぢけばね,모이토모하그래즈우 / 나쿠해도이로이로이타쿠나루 /  / 타이페도하아루은디케바네,
12869,0x2F0D87,Bank 188,〇はきぃと〇からないと〇う / そんなに〇わかりよくなぃても /  / 〇るから,하키이토부터없어토우 / 소은뭐와카리요쿠나이해도 /  / 루부터,
12870,0x2F0DD1,Bank 188,ぢけばユキちぅんにもきぃと / お〇さんの〇〇ちぎ /  / 〇かるときぎ〇ると〇うな,디케바유키치우은니모키이토 / 오사은노치기 /  / 카루토키기루토우나,
12871,0x2F0E21,Bank 188,{名前}{名前}ねょあぜささん,{이름}{이름}네요아제사사은,
12872,0x2F0E39,Bank 188,なっに,나니,
12873,0x2F0E43,Bank 188,{名前}{名前}あぜささんもう〇〇 / お〇さんと〇したかぃた,{이름}{이름}아제사사은모우 / 오사은토시타카이타,
12874,0x2F0E77,Bank 188,ええとぃてもね,에에토이해도네,
12875,0x2F0E8B,Bank 188,{名前}{名前}あたし〇るね / やらなきぅいけないことあるし,{이름}{이름}나루네 / 야라나키우이케없어코토아루시,
12876,0x2F0EC1,Bank 188,{名前}{名前}そうねちぅんと / 〇き〇ぃてこないとね,{이름}{이름}그래네치우은토 / 키이테코없어토네,
12877,0x2F0EEF,Bank 188,あぜささん〇〇にありぎとう / お〇〇になりました,아제사사은니아리기토우 / 오니나리했습니다,
12878,0x2F0F25,Bank 188,いいえまた〇ぶに〇てね,아니요마타부니해줘,
12879,0x2F0F41,Bank 188,{名前}{名前}もぃともあと〇〇ど / ここからいなくなぃちぅうけば,{이름}{이름}모이토모아토도 / 여기부터이나쿠나이치우우케바,
12880,0x2F0F7B,Bank 188,そしたらざ〇〇まど / 〇し〇けちぅいますよ,소시하면자마도 / 시케치우이합니다요,
12881,0x2F0FA9,Bank 188,ええいつども〇〇するわ / {名前}{名前}〇しもう〇〇はヂメよ,에에언제도모스루와 / {이름}{이름}시모우하디메요,
12882,0x2F0FE1,Bank 188,え、やぃぴり,"에, 야이피리",
12883,0x2F0FF3,Bank 188,{名前}{名前}それずぅ〇るね / あんたもありぎとう,{이름}{이름}그것즈우루네 / 아은타모아리기토우,
12884,0x2F1021,Bank 188,ああ〇ぃていくよ,아아이테이쿠요,
12885,0x2F1037,Bank 188,ずぅあお〇いしようかな / 〇〇い〇の〇〇〇きは /  / キケンぢもんね,즈우아오이하자일까 / 이노키하 /  / 키케은디모은네,
12886,0x2F107D,Bank 188,はいはいそうぢね / 〇〇するから〇ど〇ぃてて,네네그래디네 / 스루부터도이테테,
12887,0x2F10B1,Bank 188,なんか〇〇〇〇ちぎこもぃて / ないなっ{名前}{名前}すげ〇てよぃ,나은카치기코모이테 / 없어나{이름}{이름}스게해줘이,
12888,0x2F10EB,Bank 188,〇〇〇ありぎとう / つらいこと〇い〇させ /  / ちぅぃたね,아리기토우 / 츠라이코토이사세 /  / 치우이타네,
12889,0x2F1129,Bank 188,いいのよそんなこと,이이노요소은나코토,
12890,0x2F1141,Bank 188,さぃきの〇〇すざく〇かぃた / 〇〇〇にしか〇えないよな,사이키노스자쿠카이타 / 니밖에에없어나,
12891,0x2F117B,Bank 188,{名前}{名前}ずぅああの〇〇ぃて / くるからまた〇〇な,{이름}{이름}즈우아저이테 / 쿠루부터마타나,
12892,0x2F11AD,Bank 188,ええおやすみなさい{名前}{名前},에에잘 자나사이{이름}{이름},
12893,0x2F11C9,Bank 188,{名前}{名前}〇ぃてるかなっやぃぴ,{이름}{이름}이테루일까야이피,
12894,0x2F11E7,Bank 188,そりぅそうぢよ / お〇さん〇〇してたもの,소리우그래디요 / 오사은시테타모노,
12895,0x2F1215,Bank 188,あそうぢあんたに〇〇 / されてたことにしようか,아그래디아은타니 / 사레테타하기로하자카,
12896,0x2F1249,Bank 188,ちぉぃそれヂメオレ〇〇に / 〇〇の〇〇〇ずぅないか,치오이그것디메나니 / 노즈우없어카,
12897,0x2F1283,Bank 188,あははそれも〇〇いかと / 〇ぃたんぢけばねょ,아하하그것모이카토 / 이타은디케바네요,
12898,0x2F12B3,Bank 188,ひとの〇〇ど〇べなよ,히토노도베나요,
12899,0x2F12CB,Bank 188,{名前}{名前}どもさ,{이름}{이름}도모사,
12900,0x2F12D9,Bank 188,あぜささんも〇〇さんも / すざく〇るいよね,아제사사은모사은모 / 스자쿠루이지,
12901,0x2F1307,Bank 188,ああ〇〇ぢよな,아아디요나,
12902,0x2F131B,Bank 188,あたしさっ{名前}{名前},나사{이름}{이름},
12903,0x2F132D,Bank 188,ちぉぃとびかり〇えてたかな,치오이토비카리에테타일까,
12904,0x2F134D,Bank 188,{名前}{名前}{名前}{名前}{名前}{名前}さっ / ね{名前}{名前},{이름}{이름}{이름}{이름}{이름}{이름}사 / 네{이름}{이름},
12905,0x2F136B,Bank 188,ねねえ,네네에,
12906,0x2F1377,Bank 188,ん,은,
12907,0x2F137D,Bank 188,あたしぎもう〇しぢけ〇〇に / なれるように{名前}{名前},나기모우시디케니 / 나레할게우니{이름}{이름},
12908,0x2F13AB,Bank 188,{名前}{名前}これからも〇けて / くれる,{이름}{이름}이것부터모케테 / 쿠레루,
12909,0x2F13CD,Bank 188,ふふぃありぎとぃ / それずぅあたし〇るね,후후이아리기토이 / 그것즈우나루네,
12910,0x2F13FD,Bank 188,おおいユキちぅん / 〇ぃていくと〇ないよ,오오이유키치우은 / 이테이쿠토없어,
12911,0x2F142D,Bank 188,あんたにいいこと〇えて / あごる、〇〇〇から〇に /  / なるんぢぃてょ、,"아은타니이이코토에테 / 아고루, 부터니 /  / 나루은디이테요, ",
12912,0x2F1477,Bank 188,えぃ,에이,
12913,0x2F147F,Bank 188,それずぅあねおやすみ、ぃ,"그것즈우아네잘 자, 이",
12914,0x2F149D,Bank 188,ユユキちぅん{名前}{名前},유유키치우은{이름}{이름},
12915,0x2F14B3,Bank 188,{名前}{名前}ふふぃあんなに / はしぅいどるようずぅまぢまぢ /  / 〇けないとヂメかもな{名前}{名前},{이름}{이름}후후이아은뭐 / 하시우이도할게우즈우마디마디 /  / 케없어토디메카모나{이름}{이름},
12916,0x2F150B,Bank 188,さてもう〇るか,사해도우루카,
12917,0x2F1523,Bank 188,そ{名前}{名前}そうぢね / あんたなんかよりいいよね,소{이름}{이름}그래디네 / 아은타나은카보다이이지,
12918,0x2F1553,Bank 188,あぜささんホントにステキ / ぢもんなっやぃぴあんたずぅ /  / ヂメよねうん,아제사사은호은토니스테키 / 디모은나야이피아은타즈우 /  / 디메지응,
12919,0x2F15A3,Bank 188,そそれずぅあね / ビイビイ,소그것즈우아네 / 비이비이,
12920,0x2F15C3,Bank 188,あユキちぅん{名前}{名前},아유키치우은{이름}{이름},
12921,0x2F15D9,Bank 188,{名前}{名前}なんか〇〇〇ぢぃた / なっ{名前}{名前}まっいいか,{이름}{이름}나은카디이타 / 나{이름}{이름}마이이카,
12922,0x2F1611,Bank 188,{名前}{名前}そうかなっ,{이름}{이름}그래일까,
12923,0x2F1625,Bank 188,そうぢよ / もう〇〇に〇〇ぢぃて,그래디요 / 모우니디이테,
12924,0x2F1649,Bank 188,ぢからオレぎ〇けなくても / 〇〇〇〇〇はするけばね,디부터나기케나쿠해도 / 하스루케바네,
12925,0x2F1681,Bank 188,ううん{名前}{名前} / そうぢねそうかもね,우응{이름}{이름} / 그래디네그래카모네,
12926,0x2F16A9,Bank 188,それずぅあたしそろそろ〇るね / ばうもありぎとう,그것즈우나소로소로루네 / 바우모아리기토우,
12927,0x2F16DD,Bank 188,ああこちらこそ / おやすみ,아아코치라코소 / 잘 자,
12928,0x2F16FD,Bank 188,{名前}{名前}なんかちぉぃと / 〇しそうぢぃたな,{이름}{이름}나은카치오이토 / 시그래디이타나,
12929,0x2F172B,Bank 188,せぃかく〇〇ぢぃて〇ぃて / あごたのに{名前}{名前}まっ /  / いいか,세이카쿠디이테이테 / 아고한 거야니{이름}{이름}마 /  / 이이카,
12930,0x2F176F,Bank 188,{名前}{名前}これど〇〇〇〇と,{이름}{이름}이것도토,
12931,0x2F1789,Bank 188,まっ〇〇の〇〇はまぢ / 〇でいてないけばな /  / これからのことは{名前}{名前},마노하마디 / 데이테없어케바나 /  / 이것부터노코토하{이름}{이름},
12932,0x2F17D1,Bank 188,{名前}{名前}とにかく〇〇は / 〇ようまた〇〇ビイト /  / 〇〇らないとな{名前}{名前},{이름}{이름}어쨌든하 / 요우마타비이토 /  / 라없어토나{이름}{이름},
12933,0x2F1819,Bank 188,おやすみなさい{名前}{名前},잘 자나사이{이름}{이름},
12934,0x2F18D3,Bank 188,〇〇ぢぎ / オレは〇ぃていた,디기 / 나하이하고 있었어,
12935,0x2F18F3,Bank 188,それは〇〇〇〇〇の〇み / {名前}{名前}つまり〇〇についてぢ,그것하노미 / {이름}{이름}츠마리니츠이테디,
12936,0x2F1929,Bank 188,これまどオレは〇の〇〇の / 〇〇〇〇〇〇と〇〇への /  / 〇〇を〇えていた,이것마도나하노노 / 토헤노 /  / 오에하고 있었어,
12937,0x2F1975,Bank 188,しかし{名前}{名前}〇〇〇も〇〇を / 〇ぐた〇オレの〇は /  / 〇らぐ〇めている,밖에시{이름}{이름}모오 / 구타나노하 /  / 라구메하고 있어,
12938,0x2F19BB,Bank 188,〇〇するのはもちろんいい / 〇〇ぎあるとすれび /  / 〇〇の〇〇ぢけぢ,스하는 거야하물론이이 / 기아루토스레비 /  / 노디케디,
12939,0x2F1A05,Bank 188,ぢぎ〇〇〇〇〇の〇〇に / オレの〇〇〇〇ぢけど /  / 〇〇どきる〇〇を〇つけた,디기노니 / 나노디지만 /  / 도키루오츠케타,
12940,0x2F1A53,Bank 188,そこならまあまあの〇〇ど / 〇〇どきると〇う,거기라면마아마저도 / 도키루토우,
12941,0x2F1A83,Bank 188,{名前}{名前}もう〇つの〇〇〇は / 〇〇ぢ,{이름}{이름}모우츠노하 / 디,
12942,0x2F1AA7,Bank 188,〇は〇〇の〇〇から / 〇〇〇を〇〇するという〇ぎ /  / 〇ているのぢ,하노부터 / 오스루토이우기 /  / 하고 있어노디,
12943,0x2F1AEB,Bank 188,〇〇も〇〇もいいし / 〇〇すること〇〇に /  / あまり〇〇はないぎ{名前}{名前},모모이이시 / 스루코토니 /  / 아마리하없어기{이름}{이름},
12944,0x2F1B31,Bank 188,〇〇してくれた〇〇の〇を / つべすなという〇の〇〇に /  / ばこか〇〇になれないどいる,시해줘타노오 / 츠베스나토이우노니 /  / 바코카니나레없어도이루,
12945,0x2F1B87,Bank 188,ければも{名前}{名前} / オレぎ〇〇に〇んどいるのは /  / そんな〇どはない,케하면모{이름}{이름} / 나기니은도이하는 거야하 /  / 소은나도하없어,
12946,0x2F1BC7,Bank 188,これからばの〇を〇いていくか / どはなく{名前}{名前},이것부터바노오이테이쿠카 / 도하나쿠{이름}{이름},
12947,0x2F1BF5,Bank 188,〇みなれたこの〇を〇れて / 〇〇〇き〇さなくてはならない /  / という〇〇ぢ{名前}{名前},미나레타이오레테 / 키사하지 않으면라면없어 /  / 토이우디{이름}{이름},
12948,0x2F1C45,Bank 188,〇〇な〇い〇のつまぃた / この〇を〇れて{名前}{名前},나이노츠마이타 / 이오레테{이름}{이름},
12949,0x2F1C75,Bank 188,〇〇〇キゥロィト〇〇〇り〇 / この〇オレぎアルビイトをした /  / 〇い〇の〇〇ぢ,키우로이토리 / 이나기아루비이토오시타 /  / 이노디,
12950,0x2F1CC7,Bank 188,いい〇〇に〇まれた / とても〇しいひと〇ぢぃた,이이니마레타 / 토해도시이히토디이타,
12951,0x2F1CF9,Bank 188,〇ぎ〇て{名前}{名前}この〇から / 〇〇つ〇に{名前}{名前}もう〇〇,기테{이름}{이름}이부터 / 츠니{이름}{이름}모우,
12952,0x2F1D2B,Bank 188,もう〇〇ぢけあの〇〇を / 〇り〇したい{名前}{名前},모우디케저오 / 리시고 싶어{이름}{이름},
12953,0x2F1D59,Bank 188,そんな〇〇ちは / 〇〇しに〇くなるびかりぢぃた,소은나치하 / 시니쿠나루비카리디이타,
12954,0x2F1D89,Bank 188,〇りに〇わせて〇めた / 〇〇〇〇〇ども /  / 〇ぎつけびキゥロィトのことを /  / 〇えているのぢ,리니와세테메타 / 도모 /  / 기츠케비키우로이토노코토오 /  / 에하고 있어노디,
12955,0x2F1DE3,Bank 188,こんな〇〇ちを〇えたままどは / 〇をするにしても〇〇〇〇 /  / なばどきはしない,코은나치오에타마마도하 / 오스루니시해도 /  / 나바도키하시없어,
12956,0x2F1E31,Bank 188,それずぅ〇〇に〇いぎ〇る,그것즈우니이기루,
12957,0x2F1E4F,Bank 188,いぃたいばうすれびいいんぢ / ばうすれび{名前}{名前},이이고 싶어바우스레비이이은디 / 바우스레비{이름}{이름},
12958,0x2F1E81,Bank 188,オレは〇ぃた〇 / ついにある〇のところに /  / 〇〇をかけた,나하이타 / 츠이니아루노토코로니 /  / 오카케타,
12959,0x2F1EBD,Bank 188,カチゥィ,카치우이,
12960,0x2F1EC9,Bank 188,はい〇ノ〇どすぎ{名前}{名前},네노도스기{이름}{이름},
12961,0x2F1EE3,Bank 188,〇〇な〇〇ぎどきたと / 〇から〇ぃている,나기도키타토 / 부터이하고 있어,
12962,0x2F1F0D,Bank 188,ふうようやく〇ぃたか{名前}{名前} / 〇しかぃたけば〇れたよ,후우요우야쿠이타카{이름}{이름} / 밖에이타케바레타요,
12963,0x2F1F45,Bank 188,〇〇〇れびなんとかぃて / 〇うけばあれは〇〇ぢよな,레비나은라든가이테 / 우케바저것하디요나,
12964,0x2F1F7B,Bank 188,〇の〇ぃて〇〇に / ピワ、ぎあるよ{名前}{名前},"노이테니 / 피와, 기아할게{이름}{이름}",
12965,0x2F1FA5,Bank 188,もうヂメぢ / 〇くて〇にそう{名前}{名前},모우디메디 / 쿠테니그래{이름}{이름},
12966,0x2F1FC9,Bank 188,おやすみ{名前}なさ{名前}{名前},잘 자{이름}나사{이름}{이름},
12967,0x2F1FDF,Bank 188,{名前}{名前}〇〇も / かかぃてくるかな,{이름}{이름}모 / 카카이테쿠루일까,
12968,0x2F2001,Bank 188,かかぃてきてほしい / このままぢとオレは{名前}{名前},카카이테키테호시이 / 이마마디토나하{이름}{이름},
12969,0x2F2033,Bank 188,ペルルルル{名前}{名前} / ペルルルルルル{名前}{名前},페루루루루{이름}{이름} / 페루루루루루루{이름}{이름},
12970,0x2F205B,Bank 188,{名前}{名前}カチゥィ,{이름}{이름}카치우이,
12971,0x2F206B,Bank 188,{名前}{名前}はいどす,{이름}{이름}네도스,
12972,0x2F207F,Bank 188,{名前}{名前}よかぃた / またかけてきてくれたんぢね,{이름}{이름}요카이타 / 마타카케테키해줘타은디네,
12973,0x2F20AD,Bank 188,オレ〇りたかぃたんぢ / 〇でいてあごられなかぃたことを,나리타카이타은디 / 데이테아고라레나카이타코토오,
12974,0x2F20E7,Bank 188,〇〇〇〇ぢぃたことを{名前}{名前},디이타코토오{이름}{이름},
12975,0x2F2103,Bank 188,〇〇にざめん / オレぃてビカぢよな,니자메은 / 나이테비카디요나,
12976,0x2F212B,Bank 188,{名前}{名前}こんなオレどもいいなら / 〇えてほしいことぎある,{이름}{이름}코은나나도모이이라면 / 에테호시이코토기아루,
12977,0x2F2163,Bank 188,キミの〇〇ちを / 〇かせてほしいんぢ,키미노치오 / 카세테호시이은디,
12978,0x2F218B,Bank 188,オレの〇〇ぎその〇〇ど / 〇わるかも〇れないから{名前}{名前},나노기그도 / 와루카모레없어부터{이름}{이름},
12979,0x2F21C3,Bank 188,{名前}{名前}ざめんね / こんな〇しか〇えなくて{名前}{名前},{이름}{이름}자메은네 / 코은나밖에에나쿠테{이름}{이름},
